         ps       /delay_tb/rst       /delay_tb/din_i                  
          delta     /delay_tb/ena         /delay_tb/din_iMinus         
                      /delay_tb/clk                                    
                               /delay_tb/din                           
 1130000000  +2               0 1 0 00000101 00000101 00000100 
 1135000000  +1               0 1 1 00000101 00000101 00000100 
 1135000000  +3               0 1 1 00000101 00000101 00000101 
 1140000000  +1               0 1 0 00000110 00000101 00000101 
 1140000000  +2               0 1 0 00000110 00000110 00000101 
 1145000000  +1               0 1 1 00000110 00000110 00000101 
 1145000000  +3               0 1 1 00000110 00000110 00000110 
 1150000000  +1               0 1 0 00000111 00000110 00000110 
 1150000000  +2               0 1 0 00000111 00000111 00000110 
 1155000000  +1               0 1 1 00000111 00000111 00000110 
 1155000000  +3               0 1 1 00000111 00000111 00000111 
 1160000000  +1               0 1 0 00001000 00000111 00000111 
 1160000000  +2               0 1 0 00001000 00001000 00000111 
 1165000000  +1               0 1 1 00001000 00001000 00000111 
 1165000000  +3               0 1 1 00001000 00001000 00001000 
 1170000000  +1               0 1 0 00001001 00001000 00001000 
 1170000000  +2               0 1 0 00001001 00001001 00001000 
 1175000000  +1               0 1 1 00001001 00001001 00001000 
 1175000000  +3               0 1 1 00001001 00001001 00001001 
 1180000000  +1               0 1 0 00001010 00001001 00001001 
 1180000000  +2               0 1 0 00001010 00001010 00001001 
 1185000000  +1               0 1 1 00001010 00001010 00001001 
 1185000000  +3               0 1 1 00001010 00001010 00001010 
 1190000000  +1               0 1 0 00001011 00001010 00001010 
 1190000000  +2               0 1 0 00001011 00001011 00001010 
 1195000000  +1               0 1 1 00001011 00001011 00001010 
 1195000000  +3               0 1 1 00001011 00001011 00001011 
 1200000000  +1               0 1 0 00000000 00001011 00001011 
 1200000000  +2               0 1 0 00000000 00000000 00001011 
 1205000000  +1               0 1 1 00000000 00000000 00001011 
 1205000000  +3               0 1 1 00000000 00000000 00000000 
 1210000000  +1               0 1 0 00000001 00000000 00000000 
 1210000000  +2               0 1 0 00000001 00000001 00000000 
 1215000000  +1               0 1 1 00000001 00000001 00000000 
 1215000000  +3               0 1 1 00000001 00000001 00000001 
 1220000000  +1               0 1 0 00000010 00000001 00000001 
 1220000000  +2               0 1 0 00000010 00000010 00000001 
 1225000000  +1               0 1 1 00000010 00000010 00000001 
 1225000000  +3               0 1 1 00000010 00000010 00000010 
 1230000000  +1               0 1 0 00000011 00000010 00000010 
 1230000000  +2               0 1 0 00000011 00000011 00000010 
 1235000000  +1               0 1 1 00000011 00000011 00000010 
 1235000000  +3               0 1 1 00000011 00000011 00000011 
 1240000000  +1               0 1 0 00000100 00000011 00000011 
 1240000000  +2               0 1 0 00000100 00000100 00000011 
 1245000000  +1               0 1 1 00000100 00000100 00000011 
 1245000000  +3               0 1 1 00000100 00000100 00000100 
 1250000000  +1               0 1 0 00000101 00000100 00000100 
