         ps       /tb_final/rst  /tb_final/detector         
          delta     /tb_final/ena                           
                      /tb_final/clk                         
                               /tb_final/din                
                                /tb_final/cond              
          0  +0               U U U UUUUUUUU 0    U 
 2600000000  +1               0 1 0 01110001 0    0 
 2605000000  +1               0 1 1 01110001 0    0 
 2610000000  +1               0 1 0 01110001 0    0 
 2615000000  +1               0 1 1 01110001 0    0 
 2620000000  +1               0 1 0 01110001 0    0 
 2625000000  +1               0 1 1 01110001 0    0 
 2630000000  +1               0 1 0 01110001 0    0 
 2635000000  +1               0 1 1 01110001 0    0 
 2640000000  +1               0 1 0 01110001 0    0 
 2645000000  +1               0 1 1 01110001 0    0 
 2650000000  +1               0 1 0 01110001 0    0 
 2655000000  +1               0 1 1 01110001 0    0 
 2660000000  +1               0 1 0 01110001 0    0 
 2665000000  +1               0 1 1 01110001 0    0 
 2670000000  +1               0 1 0 01110001 0    0 
 2675000000  +1               0 1 1 01110001 0    0 
 2680000000  +1               0 1 0 01110001 0    0 
 2685000000  +1               0 1 1 01110001 0    0 
 2690000000  +1               0 1 0 01110001 0    0 
 2695000000  +1               0 1 1 01110001 0    0 
 2700000000  +1               0 1 0 01110001 0    0 
 2705000000  +1               0 1 1 01110001 0    0 
 2710000000  +1               0 1 0 01110001 0    0 
 2715000000  +1               0 1 1 01110001 0    0 
 2720000000  +1               0 1 0 01110001 0    0 
 2725000000  +1               0 1 1 01110001 0    0 
 2730000000  +1               0 1 0 01110001 0    0 
 2735000000  +1               0 1 1 01110001 0    0 
 2740000000  +1               0 1 0 01110001 0    0 
 2745000000  +1               0 1 1 01110001 0    0 
 2750000000  +1               0 1 0 01110001 0    0 
 2755000000  +1               0 1 1 01110001 0    0 
 2760000000  +1               0 1 0 01110001 0    0 
 2765000000  +1               0 1 1 01110001 0    0 
 2770000000  +1               0 1 0 01110001 0    0 
 2775000000  +1               0 1 1 01110001 0    0 
 2780000000  +1               0 1 0 01110001 0    0 
 2785000000  +1               0 1 1 01110001 0    0 
 2790000000  +1               0 1 0 01110001 0    0 
 2795000000  +1               0 1 1 01110001 0    0 
 2800000000  +1               0 1 0 01110001 0    0 
 2805000000  +1               0 1 1 01110001 0    0 
 2810000000  +1               0 1 0 01110001 0    0 
 2815000000  +1               0 1 1 01110001 0    0 
 2820000000  +1               0 1 0 01110001 0    0 
 2825000000  +1               0 1 1 01110001 0    0 
 2830000000  +1               0 1 0 01110001 0    0 
 2835000000  +1               0 1 1 01110001 0    0 
 2840000000  +1               0 1 0 01110001 0    0 
